iteration,theta_nl,theta_gain,objective,coverage_rate,p95_latency,lambda
0,0.1,0.0,0.6479619755614896,0.9436,4.489727384963785,1.0
0,0.1,0.05263157894736842,0.6480822069383754,0.943,4.489971675438442,1.0
0,0.1,0.10526315789473684,0.6487107377879487,0.9391,4.490809654638037,1.0
0,0.1,0.15789473684210525,0.6498468906656019,0.9319,4.4913325285436265,1.0
0,0.1,0.21052631578947367,0.6523461333795394,0.9153,4.492151446946839,1.0
0,0.1,0.2631578947368421,0.6557553838101661,0.8897,4.4936050829237395,1.0
0,0.1,0.3157894736842105,0.6602153166097736,0.8537,4.497521315484137,1.0
0,0.1,0.3684210526315789,0.6653739827766704,0.8049,4.495101916928484,1.0
0,0.1,0.42105263157894735,0.6712106498748808,0.7486,4.490134535754881,1.0
0,0.1,0.47368421052631576,0.6777548595110878,0.6825,4.495411542548901,1.0
0,0.1,0.5263157894736842,0.6847730947656089,0.6096,4.502197912535747,1.0
0,0.1,0.5789473684210527,0.6921350407399125,0.5241,4.502005433612811,1.0
0,0.1,0.631578947368421,0.7012119367869647,0.4366,4.498854142384722,1.0
0,0.1,0.6842105263157894,0.709411828862209,0.3581,4.493463093637866,1.0
0,0.1,0.7368421052631579,0.7190473651928923,0.2659,4.452512274043709,1.0
0,0.1,0.7894736842105263,0.7274578173764319,0.1828,4.438077628979684,1.0
0,0.1,0.8421052631578947,0.732859981804887,0.113,4.4789721079610665,1.0
0,0.1,0.894736842105263,0.7486534984500002,0.055,4.517012881460068,1.0
0,0.1,0.9473684210526315,0.7661474326680122,0.0139,4.304769382414764,1.0
0,0.1,1.0,-inf,0.0,0.0,1.0
0,0.14210526315789473,0.0,0.6538693139392933,0.9009,4.484474101524178,1.0
0,0.14210526315789473,0.05263157894736842,0.6539991846395377,0.9003,4.484890843784728,1.0
0,0.14210526315789473,0.10526315789473684,0.6546457875084593,0.8965,4.486943098783328,1.0
0,0.14210526315789473,0.15789473684210525,0.6558278677197531,0.8895,4.488052146678357,1.0
0,0.14210526315789473,0.21052631578947367,0.6580835412953093,0.8745,4.49017525083399,1.0
0,0.14210526315789473,0.2631578947368421,0.6615364574263638,0.8499,4.4913325285436265,1.0
0,0.14210526315789473,0.3157894736842105,0.6658942347176507,0.8159,4.493534088280803,1.0
0,0.14210526315789473,0.3684210526315789,0.6710986147945911,0.7689,4.491589180633535,1.0
0,0.14210526315789473,0.42105263157894735,0.6768736205146971,0.7153,4.484196273350476,1.0
0,0.14210526315789473,0.47368421052631576,0.6834348667578792,0.6522,4.491768837096472,1.0
0,0.14210526315789473,0.5263157894736842,0.6902927023372266,0.5831,4.497686669685411,1.0
0,0.14210526315789473,0.5789473684210527,0.6976021533939171,0.5015,4.498319012966409,1.0
0,0.14210526315789473,0.631578947368421,0.7065931658973339,0.418,4.495805663728349,1.0
0,0.14210526315789473,0.6842105263157894,0.7145849440680417,0.3433,4.48682737855024,1.0
0,0.14210526315789473,0.7368421052631579,0.7238214708505646,0.2554,4.443252972725954,1.0
0,0.14210526315789473,0.7894736842105263,0.7321756881034024,0.1756,4.442170751149084,1.0
0,0.14210526315789473,0.8421052631578947,0.7375460677390469,0.1084,4.479595156986927,1.0
0,0.14210526315789473,0.894736842105263,0.7534234566733738,0.053,4.517012881460068,1.0
0,0.14210526315789473,0.9473684210526315,0.7696830446382101,0.0136,4.322769140131519,1.0
0,0.14210526315789473,1.0,-inf,0.0,0.0,1.0
0,0.1842105263157895,0.0,0.6612030579948294,0.846,4.480399091289722,1.0
0,0.1842105263157895,0.05263157894736842,0.6613150289227383,0.8455,4.480670102338208,1.0
0,0.1842105263157895,0.10526315789473684,0.6620367583753514,0.8417,4.4818712700197905,1.0
0,0.1842105263157895,0.15789473684210525,0.663238234981427,0.8351,4.4825347751385225,1.0
0,0.1842105263157895,0.21052631578947367,0.6653843326594115,0.8214,4.484126816307051,1.0
0,0.1842105263157895,0.2631578947368421,0.6686962572431516,0.7987,4.4846130156110275,1.0
0,0.1842105263157895,0.3157894736842105,0.6728214298776938,0.7677,4.491383858961608,1.0
0,0.1842105263157895,0.3684210526315789,0.6780828166702777,0.7233,4.484196273350476,1.0
0,0.1842105263157895,0.42105263157894735,0.6839502651323028,0.6725,4.472944484756376,1.0
0,0.1842105263157895,0.47368421052631576,0.690664667067218,0.6127,4.48946310800868,1.0
0,0.1842105263157895,0.5263157894736842,0.6976379409904978,0.5475,4.49622814152351,1.0
0,0.1842105263157895,0.5789473684210527,0.7049474085369207,0.4707,4.497796905819593,1.0
0,0.1842105263157895,0.631578947368421,0.7137354543350972,0.3926,4.496988601554796,1.0
0,0.1842105263157895,0.6842105263157894,0.721664701152911,0.3225,4.484005142597233,1.0
0,0.1842105263157895,0.7368421052631579,0.7306361172024155,0.2401,4.443514526393792,1.0
0,0.1842105263157895,0.7894736842105263,0.7390309505068172,0.1649,4.443353570290507,1.0
0,0.1842105263157895,0.8421052631578947,0.7443405817075797,0.1016,4.478349058935207,1.0
0,0.1842105263157895,0.894736842105263,0.7594988472121488,0.0503,4.515524516157144,1.0
0,0.1842105263157895,0.9473684210526315,0.771724720532729,0.0133,4.340768897848272,1.0
0,0.1842105263157895,1.0,-inf,0.0,0.0,1.0
0,0.22631578947368422,0.0,0.6691560283988491,0.7814,4.4906681915917535,1.0
